BarbarianKing31,BarbarianKing,31,887
BarbarianKing32,BarbarianKing,32,922
BarbarianKing33,BarbarianKing,33,957
BarbarianKing34,BarbarianKing,34,992
BarbarianKing35,BarbarianKing,35,1029
BarbarianKing36,BarbarianKing,36,1066
BarbarianKing37,BarbarianKing,37,1103
BarbarianKing38,BarbarianKing,38,1140
BarbarianKing39,BarbarianKing,39,1177
BarbarianKing40,BarbarianKing,40,1214
ArcherQueen1,ArcherQueen,1,65
ArcherQueen2,ArcherQueen,2,130
ArcherQueen3,ArcherQueen,3,195
ArcherQueen4,ArcherQueen,4,260
ArcherQueen5,ArcherQueen,5,327
ArcherQueen6,ArcherQueen,6,394
ArcherQueen7,ArcherQueen,7,461
ArcherQueen8,ArcherQueen,8,528
ArcherQueen9,ArcherQueen,9,595
ArcherQueen10,ArcherQueen,10,664
ArcherQueen11,ArcherQueen,11,733
ArcherQueen12,ArcherQueen,12,802
ArcherQueen13,ArcherQueen,13,871
ArcherQueen14,ArcherQueen,14,940
ArcherQueen15,ArcherQueen,15,1011
ArcherQueen16,ArcherQueen,16,1082
ArcherQueen17,ArcherQueen,17,1153
ArcherQueen18,ArcherQueen,18,1224
ArcherQueen19,ArcherQueen,19,1295
ArcherQueen20,ArcherQueen,20,1368
ArcherQueen21,ArcherQueen,21,1441
ArcherQueen22,ArcherQueen,22,1514
ArcherQueen23,ArcherQueen,23,1587
ArcherQueen24,ArcherQueen,24,1660
ArcherQueen25,ArcherQueen,25,1735
ArcherQueen26,ArcherQueen,26,1810
ArcherQueen27,ArcherQueen,27,1885
ArcherQueen28,ArcherQueen,28,1960
ArcherQueen29,ArcherQueen,29,2035
ArcherQueen30,ArcherQueen,30,2112
ArcherQueen31,ArcherQueen,31,2189
ArcherQueen32,ArcherQueen,32,2266
ArcherQueen33,ArcherQueen,33,2343
ArcherQueen34,ArcherQueen,34,2420
ArcherQueen35,ArcherQueen,35,2499
ArcherQueen36,ArcherQueen,36,2578
ArcherQueen37,ArcherQueen,37,2657
ArcherQueen38,ArcherQueen,38,2736
ArcherQueen39,ArcherQueen,39,2815
ArcherQueen40,ArcherQueen,40,2894
GrandWarden1,GrandWarden,1,135
GrandWarden2,GrandWarden,2,270
GrandWarden3,GrandWarden,3,405
GrandWarden4,GrandWarden,4,540
GrandWarden5,GrandWarden,5,677
GrandWarden6,GrandWarden,6,814
GrandWarden7,GrandWarden,7,951
GrandWarden8,GrandWarden,8,1088
GrandWarden9,GrandWarden,9,1225
GrandWarden10,GrandWarden,10,1364
GrandWarden11,GrandWarden,11,1503
GrandWarden12,GrandWarden,12,1642
GrandWarden13,GrandWarden,13,1781
GrandWarden14,GrandWarden,14,1920
GrandWarden15,GrandWarden,15,2061
GrandWarden16,GrandWarden,16,2202
GrandWarden17,GrandWarden,17,2343
GrandWarden18,GrandWarden,18,2484
GrandWarden19,GrandWarden,19,2625
GrandWarden20,GrandWarden,20,2768
SmallBomb1,SmallBomb,1,100
SmallBomb2,SmallBomb,2,200
SmallBomb3,SmallBomb,3,300
SmallBomb4,SmallBomb,4,400
SmallBomb5,SmallBomb,5,500
SmallBomb6,SmallBomb,6,600
GiantBomb1,GiantBomb,1,150
GiantBomb2,GiantBomb,2,300
GiantBomb3,GiantBomb,3,450
GiantBomb4,GiantBomb,4,600
SeekingAirmine1,SeekingAirmine,1,15
SeekingAirmine2,SeekingAirmine,2,30
SeekingAirmine3,SeekingAirmine,3,45
AirBombs1,AirBombs,1,100
AirBombs2,AirBombs,2,200
AirBombs3,AirBombs,3,300
AirBombs4,AirBombs,4,400
SkeletonTraps1,SkeletonTraps,1,80
SkeletonTraps2,SkeletonTraps,2,160
SkeletonTraps3,SkeletonTraps,3,240
Wall 1,Wall ,1,4.2
Wall 2,Wall ,2,8.4
Wall 3,Wall ,3,12.6
Wall 4,Wall ,4,16.8
Wall 5,Wall ,5,21
Wall 6,Wall ,6,25.2
Wall 7,Wall ,7,29.4
Wall 8,Wall ,8,33.6
Wall 9,Wall ,9,37.8
Wall 10,Wall ,10,42
Wall 11,Wall ,11,46.2
SpringTrap1,SpringTrap,1,20
SpringTrap2,SpringTrap,2,45
SpringTrap3,SpringTrap,3,71
SpringTrap4,SpringTrap,4,98
SpringTrap5,SpringTrap,5,126
SpringTrap6,SpringTrap,6,126
TownHall1,TownHall,1,10
TownHall2,TownHall,2,60
TownHall3,TownHall,3,135
TownHall4,TownHall,4,245
TownHall5,TownHall,5,415
TownHall6,TownHall,6,665
TownHall7,TownHall,7,1045
TownHall8,TownHall,8,1625
TownHall9,TownHall,9,2375
TownHall10,TownHall,10,3275
TownHall11,TownHall,11,4275
